cas,ir_labels,uv_labels,ir_peaks,uv_peaks
100-41-4,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'nitro_no2_sym', 'aromatic_ch', 'alkene_ch_sp2', 'alkene_out_of_plane_ch', 'nitro_no2_asym', 'ether_co', 'aromatic_cc', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'alkyl_halide_cbr', 'sulfate_so4']",[],"[695.7915831663327, 746.2925851703407, 897.7955911823647, 962.7254509018036, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1604.809619238477, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2881.763527054108, 2939.478957915832, 2975.551102204409, 3033.2665330661325, 3076.553106212425, 609.2184368737475, 666.9338677354709, 724.6492985971944, 883.3667334669339, 933.8677354709419, 1013.2264529058116, 1135.871743486974, 1222.4448897795592, 1352.3046092184368, 1402.805611222445, 1482.1643286573146, 1525.4509018036072, 1720.2404809619238, 1785.1703406813626, 1850.1002004008017, 1915.0300601202405, 2088.176352705411, 2910.62124248497, 3011.623246492986, 3062.124248496994, 3292.9859719438878, 3927.8557114228456, 695.7915831663327, 746.2925851703407, 897.7955911823647, 962.7254509018036, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1604.809619238477, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2881.763527054108, 2939.478957915832, 2975.551102204409, 3033.2665330661325, 3076.553106212425, 695.7915831663327, 746.2925851703407, 897.7955911823647, 962.7254509018036, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1604.809619238477, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2881.763527054108, 2939.478957915832, 2975.551102204409, 3033.2665330661325, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3083.76753507014, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3083.76753507014, 450.501002004008, 515.4308617234469, 652.5050100200401, 717.4348697394789, 847.2945891783568, 933.8677354709419, 991.5831663326653, 1215.2304609218436, 1345.0901803607214, 1410.0200400801605, 1474.9498997995993, 1554.308617234469, 1633.6673346693387, 1756.312625250501, 1828.4569138276554, 1900.6012024048096, 2059.318637274549, 2896.1923847695393, 2997.194388777555, 3047.695390781563, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1503.807615230461, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2946.693386773547, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 558.7174348697395, 688.5771543086173, 890.5811623246493, 1013.2264529058116, 1309.0180360721442, 1474.9498997995993, 1575.9519038076153, 1777.9559118236473, 1857.314629258517, 1929.4589178356714, 2888.9779559118238, 2953.9078156312626, 3018.8376753507014, 3054.909819639279, 3769.138276553106, 695.7915831663327, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 695.7915831663327, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1503.807615230461, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2946.693386773547, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1503.807615230461, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2946.693386773547, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3083.76753507014, 695.7915831663327, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 695.7915831663327, 746.2925851703407, 897.7955911823647, 962.7254509018036, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1604.809619238477, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2881.763527054108, 2939.478957915832, 2975.551102204409, 3033.2665330661325, 3076.553106212425, 695.7915831663327, 746.2925851703407, 897.7955911823647, 962.7254509018036, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1604.809619238477, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2881.763527054108, 2939.478957915832, 2975.551102204409, 3033.2665330661325, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 695.7915831663327, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 695.7915831663327, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1381.1623246492986, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1943.8877755511023, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 508.21643286573146, 580.3607214428857, 717.4348697394789, 876.1523046092184, 926.6533066132265, 991.5831663326653, 1128.6573146292585, 1215.2304609218436, 1345.0901803607214, 1402.805611222445, 1474.9498997995993, 1518.2364729458918, 1554.308617234469, 1626.4529058116232, 1770.741482965932, 1835.6713426853707, 1900.6012024048096, 1979.9599198396793, 2903.4068136272545, 2946.693386773547, 3004.4088176352707, 3054.909819639279, 3776.3527054108217, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3083.76753507014, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1503.807615230461, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2946.693386773547, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1503.807615230461, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2946.693386773547, 2975.551102204409, 3040.4809619238476, 3076.553106212425, 703.0060120240481, 746.2925851703407, 905.0100200400802, 969.939879759519, 1034.8697394789579, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1496.5931863727455, 1612.0240480961925, 1799.5991983967936, 1871.743486973948, 1951.1022044088177, 2888.9779559118238, 2975.551102204409, 3040.4809619238476, 3083.76753507014]",[]
110-82-7,"['aromatic_ch', 'ether_co', 'aromatic_cc', 'amide_cn', 'thiol_sh', 'ester_co_c', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkyne_cc', 'nitro_no2_sym', 'nitro_no2_asym', 'sulfone_so2', 'alkyl_halide_cbr', 'alkyl_halide_cI', 'sulfate_so4', 'alkane_ch_sp3', 'amine_cn', 'alkene_out_of_plane_ch', 'carboxylic_acid_oh_broad']",[],"[804.0080160320641, 883.3667334669339, 1208.0160320641282, 1381.1623246492986, 2174.749498997996, 2730.2605210420843, 2824.048096192385, 2888.9779559118238, 3199.198396793587, 3783.5671342685373, 840.0801603206413, 883.3667334669339, 969.939879759519, 1070.941883767535, 1193.5871743486973, 1309.0180360721442, 1539.879759519038, 2643.687374749499, 2744.689378757515, 2824.048096192385, 2888.9779559118238, 3119.8396793587176, 3220.8416833667334, 3783.5671342685373, 1431.6633266533067, 2845.691382765531, 2917.8356713426856, 2961.122244488978, 551.5030060120241, 876.1523046092184, 926.6533066132265, 1107.0140280561122, 1366.7334669338677, 1410.0200400801605, 1489.37875751503, 2145.8917835671346, 2326.2525050100203, 2441.6833667334668, 2614.8296593186374, 2730.2605210420843, 2802.4048096192387, 2874.5490981963926, 2968.3366733466933, 3033.2665330661325, 3191.983967935872, 3603.2064128256516, 3978.3567134268537]",[]
75-44-5,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'ketone_co', 'alkene_out_of_plane_ch', 'alkyl_halide_ccl', 'carboxylic_acid_oh_broad', 'alkyl_halide_cbr', 'aldehyde_co', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'carboxylic_acid_co']",[],"[479.35871743486973, 616.4328657314629, 767.935871743487, 941.0821643286573, 1042.0841683366734, 1222.4448897795592, 1446.0921843687374, 1720.2404809619238, 1893.3867735470942, 2910.62124248497, 3567.134268537074, 3747.49498997996]",[]
105-60-2,"['aromatic_ch', 'ether_co', 'aromatic_cc', 'amide_cn', 'amine_nh_secondary', 'carboxylic_acid_co', 'amide_nh', 'alkyl_halide_ccl', 'ester_co_c', 'aromatic_out_of_plane_ch', 'alkyne_cc', 'nitro_no2_sym', 'nitro_no2_asym', 'alkyl_halide_cbr', 'alkyl_halide_cI', 'amine_nh_primary', 'alkane_ch_sp3', 'amine_cn', 'sulfate_so4', 'ketone_co', 'alkene_ch_sp2', 'alkene_out_of_plane_ch', 'carboxylic_acid_oh_broad']",[],"[472.1442885771543, 681.3627254509017, 948.2965931863728, 1114.2284569138278, 1186.372745490982, 1301.803607214429, 1352.3046092184368, 1431.6633266533067, 1705.811623246493, 1763.5270541082164, 2867.3346693386775, 2917.8356713426856, 2961.122244488978, 3437.2745490981965, 616.4328657314629, 674.1482965931864, 840.0801603206413, 933.8677354709419, 998.7975951903808, 1034.8697394789579, 1099.7995991983967, 1143.0861723446894, 1215.2304609218436, 1251.302605210421, 1309.0180360721442, 1330.6613226452905, 1388.3767535070142, 1460.5210420841684, 1511.0220440881765, 1597.5951903807616, 2117.0340681362723, 2867.3346693386775, 3011.623246492986, 3134.2685370741483, 3278.557114228457, 3408.4168336673347]",[]
60-29-7,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'anhydride_co', 'nitro_no2_sym', 'alkene_out_of_plane_ch', 'nitro_no2_asym', 'ether_co', 'alkyl_halide_ccl', 'carboxylic_acid_oh_broad', 'sulfone_so2', 'aromatic_cc', 'amide_cn', 'ester_co_c', 'alkyl_halide_cbr', 'sulfate_so4']",[],"[688.5771543086173, 890.5811623246493, 969.939879759519, 1092.5851703406813, 1236.8737474949899, 1323.4468937875752, 1424.4488977955912, 1597.5951903807616, 1720.2404809619238, 1821.2424849699398, 2052.104208416834, 2362.3246492985973, 2492.184368737475, 2650.9018036072143, 2917.8356713426856, 3134.2685370741483, 3494.9899799599198, 3783.5671342685373, 472.1442885771543, 602.004008016032, 717.4348697394789, 890.5811623246493, 955.5110220440882, 1236.8737474949899, 1323.4468937875752, 1417.2344689378758, 1835.6713426853707, 2037.6753507014027, 2347.895791583166, 2636.4729458917836, 2824.048096192385, 2917.8356713426856, 2953.9078156312626, 3581.563126252505, 3776.3527054108217, 616.4328657314629, 746.2925851703407, 811.2224448897796, 890.5811623246493, 962.7254509018036, 1085.370741482966, 1244.0881763527054, 1323.4468937875752, 1417.2344689378758, 1511.0220440881765, 1814.0280561122245, 2153.1062124248497, 2492.184368737475, 2650.9018036072143, 2824.048096192385, 2910.62124248497, 2946.693386773547, 3610.4208416833667, 3963.927855711423]",[]
60-57-1,"['amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkyne_cc', 'nitro_no2_sym', 'aromatic_ch', 'alkene_ch_sp2', 'alkene_out_of_plane_ch', 'ether_co', 'aromatic_cc', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'sulfone_so2', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'alkyl_halide_cbr', 'sulfate_so4']",[],"[580.3607214428857, 688.5771543086173, 775.1503006012024, 825.6513026052105, 897.7955911823647, 1027.6553106212425, 1164.7294589178357, 1251.302605210421, 1323.4468937875752, 1453.306613226453, 1575.9519038076153, 1619.2384769539078, 2932.2645290581163, 2975.551102204409, 3026.052104208417, 3062.124248496994, 3372.3446893787577, 3812.4248496993987, 472.1442885771543, 551.5030060120241, 580.3607214428857, 659.7194388777555, 724.6492985971944, 825.6513026052105, 868.937875751503, 955.5110220440882, 1027.6553106212425, 1063.7274549098197, 1135.871743486974, 1222.4448897795592, 1272.9458917835673, 1316.2324649298598, 1352.3046092184368, 1395.5911823647293, 1446.0921843687374, 1489.37875751503, 1575.9519038076153, 2102.605210420842, 2492.184368737475, 3018.8376753507014, 3790.7815631262524]",[]
76-22-2,"['ether_co', 'aromatic_cc', 'amide_cn', 'amine_nh_secondary', 'alkyl_halide_ccl', 'amide_nh', 'ester_co_c', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkyne_cc', 'nitro_no2_sym', 'nitro_no2_asym', 'alkyne_ch_sp', 'sulfone_so2', 'alkyl_halide_cbr', 'alkyl_halide_cI', 'sulfate_so4', 'amine_nh_primary', 'amine_cn', 'alkene_cc', 'alkene_out_of_plane_ch']",[],"[472.1442885771543, 587.5751503006012, 666.9338677354709, 767.935871743487, 890.5811623246493, 969.939879759519, 1070.941883767535, 1114.2284569138278, 1215.2304609218436, 1301.803607214429, 1345.0901803607214, 1395.5911823647293, 1410.0200400801605, 1431.6633266533067, 1503.807615230461, 1655.310621242485, 2189.178356713427, 2903.4068136272545, 3401.202404809619, 501.002004008016, 623.6472945891784, 724.6492985971944, 789.5791583166333, 890.5811623246493, 977.1543086172345, 1078.1563126252504, 1121.442885771543, 1186.372745490982, 1222.4448897795592, 1359.5190380761524, 1424.4488977955912, 1539.879759519038, 2016.0320641282565, 2759.118236472946, 2903.4068136272545, 3300.2004008016033, 3783.5671342685373]",[]
538-68-1,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkene_cc', 'aromatic_ch', 'alkene_out_of_plane_ch', 'nitro_no2_asym', 'alkene_ch_sp2', 'ether_co', 'aromatic_cc', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'sulfate_so4']",[],"[616.4328657314629, 674.1482965931864, 724.6492985971944, 868.937875751503, 941.0821643286573, 1006.0120240480962, 1056.5130260521041, 1085.370741482966, 1135.871743486974, 1236.8737474949899, 1402.805611222445, 1482.1643286573146, 1525.4509018036072, 1633.6673346693387, 1777.9559118236473, 1842.885771543086, 1907.8156312625251, 2059.318637274549, 2102.605210420842, 2896.1923847695393, 3004.4088176352707, 3054.909819639279, 3292.9859719438878, 3920.6412825651305, 479.35871743486973, 558.7174348697395, 681.3627254509017, 717.4348697394789, 1366.7334669338677, 1438.877755511022, 1590.3807615230462, 2867.3346693386775, 2917.8356713426856, 3026.052104208417]",[]
93-58-3,"['ether_co', 'aromatic_cc', 'amine_nh_secondary', 'amide_cn', 'thiol_sh', 'amide_nh', 'alkyl_halide_ccl', 'ester_co_c', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'nitro_no2_sym', 'alkyl_halide_cbr', 'alkyl_halide_cI', 'amine_nh_primary', 'sulfate_so4', 'amine_cn', 'alkane_ch_sp3', 'alkene_cc', 'alkene_out_of_plane_ch', 'carboxylic_acid_oh_broad', 'aldehyde_co', 'amide_co']",[],"[472.1442885771543, 565.9318637274549, 775.1503006012024, 847.2945891783568, 912.2244488977956, 948.2965931863728, 1006.0120240480962, 1049.2985971943888, 1135.871743486974, 1222.4448897795592, 1366.7334669338677, 1474.9498997995993, 1583.1663326653306, 1626.4529058116232, 1662.5250501002004, 1878.9579158316633, 2037.6753507014027, 2189.178356713427, 2499.3987975951904, 2686.9739478957918, 2867.3346693386775, 2925.0501002004007, 2975.551102204409, 3047.695390781563, 3386.7735470941884, 3776.3527054108217, 695.7915831663327, 796.7935871743487, 955.5110220440882, 1013.2264529058116, 1092.5851703406813, 1164.7294589178357, 1229.6593186372745, 1272.9458917835673, 1316.2324649298598, 1431.6633266533067, 1590.3807615230462, 1734.6693386773547, 1763.5270541082164, 2953.9078156312626, 3069.3386773547095]",[]
75-01-4,"['amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'nitro_no2_sym', 'aromatic_ch', 'alkene_ch_sp2', 'alkene_out_of_plane_ch', 'ether_co', 'aromatic_cc', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'sulfone_so2', 'amide_cn', 'sulfate_so4']",[],"[717.4348697394789, 919.438877755511, 1020.440881763527, 1280.1603206412826, 1366.7334669338677, 1547.0941883767534, 1597.5951903807616, 1792.3847695390782, 3069.3386773547095, 681.3627254509017, 825.6513026052105, 919.438877755511, 998.7975951903808, 1070.941883767535, 1323.4468937875752, 1482.1643286573146, 1547.0941883767534, 2376.7535070140284, 3184.7695390781564, 3776.3527054108217]",[]
106-93-4,"['amine_cn', 'aromatic_out_of_plane_ch', 'alkene_out_of_plane_ch', 'alkyl_halide_ccl', 'carboxylic_acid_oh_broad', 'alkyl_halide_cbr', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI']",[],"[472.1442885771543, 630.8617234468938, 962.7254509018036, 1222.4448897795592, 1316.2324649298598, 1597.5951903807616, 2910.62124248497, 3776.3527054108217, 544.2885771543087, 587.5751503006012, 767.935871743487, 832.8657314629259, 1171.943887775551, 1236.8737474949899, 1280.1603206412826, 1431.6633266533067, 2968.3366733466933]",[]
68-12-2,"['ether_co', 'aromatic_cc', 'amide_cn', 'carboxylic_acid_co', 'alkyl_halide_ccl', 'ester_co_c', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'nitro_no2_sym', 'nitro_no2_asym', 'sulfone_so2', 'alkyl_halide_cbr', 'alkyl_halide_cI', 'sulfate_so4', 'alkane_ch_sp3', 'amine_cn', 'ketone_co', 'alkene_out_of_plane_ch', 'carboxylic_acid_oh_broad']",[],"[1070.941883767535, 1236.8737474949899, 1359.5190380761524, 1482.1643286573146, 1713.0260521042085, 2831.2625250501, 2917.8356713426856, 472.1442885771543, 623.6472945891784, 962.7254509018036, 1215.2304609218436, 1345.0901803607214, 1554.308617234469, 2340.681362725451, 2881.763527054108, 3776.3527054108217, 479.35871743486973, 630.8617234468938, 775.1503006012024, 1193.5871743486973, 1301.803607214429, 1431.6633266533067, 1474.9498997995993, 1547.0941883767534, 1987.1743486973949, 2636.4729458917836, 2896.1923847695393, 3725.8517034068136]","[226.08695652173913, 242.14046822742475, 290.3010033444816]"
645-62-5,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'ether_co', 'alkyl_halide_ccl', 'carboxylic_acid_oh_broad', 'ester_co_c', 'sulfate_so4']",[],"[775.1503006012024, 969.939879759519, 1056.5130260521041, 1179.1583166332666, 1373.947895791583, 1453.306613226453, 1619.2384769539078, 1691.3827655310622, 1741.88376753507, 2694.188376753507, 2795.190380761523, 2881.763527054108, 2946.693386773547]",[]
75-07-0,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'alcohol_phenol_oh', 'alkene_cc', 'alkene_out_of_plane_ch', 'amide_nh', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'alkyne_ch_sp', 'ester_co_c', 'amide_cn', 'amine_nh_secondary', 'alkyl_halide_cI', 'amide_co', 'amine_nh_primary']",[],"[695.7915831663327, 789.5791583166333, 890.5811623246493, 962.7254509018036, 1208.0160320641282, 1395.5911823647293, 1648.0961923847697, 1907.8156312625251, 2362.3246492985973, 2773.547094188377, 2917.8356713426856, 3343.486973947896, 3747.49498997996, 472.1442885771543, 681.3627254509017, 804.0080160320641, 998.7975951903808, 1150.3006012024048, 1215.2304609218436, 1373.947895791583, 1604.809619238477, 1929.4589178356714, 2160.3206412825652, 2362.3246492985973, 2484.9699398797597, 2780.7615230460924, 2939.478957915832, 3314.629258517034, 3783.5671342685373]",[288.2943143812709]
87-66-1,"['amine_cn', 'amine_nh_primary', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alcohol_phenol_oh', 'nitro_no2_sym', 'aromatic_ch', 'alkene_ch_sp2', 'alkene_out_of_plane_ch', 'amide_nh', 'carboxylic_acid_oh_broad', 'alkyl_halide_cbr', 'aromatic_cc', 'alkyl_halide_ccl', 'amine_nh_secondary', 'ester_co_c', 'alkyl_halide_cI', 'amide_cn']",[],"[565.9318637274549, 695.7915831663327, 746.2925851703407, 818.4368737474949, 926.6533066132265, 977.1543086172345, 1042.0841683366734, 1171.943887775551, 1251.302605210421, 1337.875751503006, 1402.805611222445, 1496.5931863727455, 1539.879759519038, 1612.0240480961925, 3054.909819639279, 3494.9899799599198, 3588.7775551102204, 3653.7074148296592, 3704.2084168336673]","[256.18729096989966, 270.23411371237455, 288.2943143812709]"
54-11-5,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'nitro_no2_sym', 'aromatic_ch', 'aromatic_cc', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'sulfone_so2', 'amide_cn', 'ester_co_c', 'alkyl_halide_cbr']",[],"[594.7895791583167, 703.0060120240481, 789.5791583166333, 876.1523046092184, 1027.6553106212425, 1200.801603206413, 1301.803607214429, 1453.306613226453, 1554.308617234469, 1720.2404809619238, 2780.7615230460924, 2910.62124248497, 2953.9078156312626, 3033.2665330661325]",[]
625-45-6,"['alkane_ch_sp3', 'amine_cn', 'amine_nh_primary', 'alcohol_phenol_oh', 'anhydride_co', 'nitro_no2_sym', 'ether_co', 'amide_nh', 'carboxylic_acid_oh_broad', 'alkyl_halide_cbr', 'alkyl_halide_ccl', 'sulfone_so2', 'amine_nh_secondary', 'alkyl_halide_cI', 'amide_cn', 'sulfate_so4']",[],"[464.92985971943887, 616.4328657314629, 840.0801603206413, 1114.2284569138278, 1157.5150300601204, 1337.875751503006, 1792.3847695390782, 1842.885771543086, 2831.2625250501, 2917.8356713426856, 3494.9899799599198, 3559.9198396793586]",[]
